id,osm_type,name,amenity,leisure,shop,railway,highway,public_transport,lat,lon,kategoria
3681424681,node,Łanowa I,,,,,bus_stop,,54.32826232910156,18.670331954956055,przystanek_autobus
3682341054,node,,,playground,,,,,54.383506774902344,18.619531631469727,plac_zabaw
3682424177,node,Żabka,,,convenience,,,,54.385738372802734,18.616586685180664,sklep
3682867928,node,Piekarnicza 04,,,,,bus_stop,,54.351219177246094,18.59221649169922,przystanek_autobus
3686236836,node,Chałubińskiego,,,,tram_stop,,,54.34156799316406,18.617725372314453,przystanek_tramwaj
3686236837,node,Chałubińskiego,,,,tram_stop,,,54.34189987182617,18.61768913269043,przystanek_tramwaj
3686236839,node,Odrzańska,,,,tram_stop,,,54.345420837402344,18.625722885131836,przystanek_tramwaj
3686239179,node,Ciasna,,,,tram_stop,,,54.34910202026367,18.624187469482422,przystanek_tramwaj
3686239180,node,Ciasna,,,,tram_stop,,,54.34915542602539,18.62472152709961,przystanek_tramwaj
3686239181,node,Paska,,,,tram_stop,,,54.35009002685547,18.630327224731445,przystanek_tramwaj
3686239182,node,Paska,,,,tram_stop,,,54.350006103515625,18.629812240600586,przystanek_tramwaj
3686619142,node,Nowe Ogrody 02,,,,tram_stop,,,54.352169036865234,18.642200469970703,przystanek_tramwaj
3686706722,node,Odido,,,convenience,,,,54.35666275024414,18.601903915405273,sklep
3692175695,node,Uniwersytet Medyczny 04,,,,,bus_stop,,54.36734390258789,18.631624221801758,przystanek_autobus
3696582167,node,Chrzanowskiego 02,,,,,bus_stop,,54.38014602661133,18.586896896362305,przystanek_autobus
3696582168,node,Chrzanowskiego 03,,,,,bus_stop,,54.38048553466797,18.58823585510254,przystanek_autobus
3696582169,node,Srebrniki 02,,,,,bus_stop,,54.378875732421875,18.579118728637695,przystanek_autobus
3698665872,node,Srebrniki 01,,,,,bus_stop,,54.378910064697266,18.580556869506836,przystanek_autobus
3698828900,node,Strzyża PKM 04,,,,,bus_stop,,54.390838623046875,18.577865600585938,przystanek_autobus
3698828901,node,Strzyża PKM 05,,,,,bus_stop,,54.39141845703125,18.5776309967041,przystanek_autobus
3698828902,node,Uniwersytet Gdański,,,,,bus_stop,,54.39531707763672,18.572439193725586,przystanek_autobus
3698828903,node,Uniwersytet Gdański,,,,,bus_stop,,54.39562225341797,18.571470260620117,przystanek_autobus
3698828904,node,Zamenhofa 04,,,,,bus_stop,,54.38679122924805,18.584840774536133,przystanek_autobus
3698828905,node,Zamenhofa 03,,,,,bus_stop,,54.38700866699219,18.584983825683594,przystanek_autobus
3698876201,node,Galeria Bałtycka 05,,,,,bus_stop,,54.382957458496094,18.598949432373047,przystanek_autobus
3699714583,node,Stokrotki 01,,,,,bus_stop,,54.33262252807617,18.666152954101562,przystanek_autobus
3700232707,node,"Gdańsk, Wrzeszcz PKP",,,,,bus_stop,,54.38137435913086,18.60405731201172,przystanek_autobus
3701630740,node,Rzeczypospolitej 01,,,,,bus_stop,,54.39600372314453,18.603824615478516,przystanek_autobus
3701630741,node,Rzeczypospolitej 02,,,,,bus_stop,,54.396366119384766,18.603586196899414,przystanek_autobus
3701850000,node,Drzewieckiego 02,,,,,bus_stop,,54.394996643066406,18.613142013549805,przystanek_autobus
3701850001,node,Drzewieckiego 01,,,,,bus_stop,,54.395469665527344,18.612773895263672,przystanek_autobus
3701850004,node,"SDO ""Złota Jesień"" 01",,,,,bus_stop,,54.3869743347168,18.598817825317383,przystanek_autobus
3701850005,node,Skarżyńskiego,,,,,bus_stop,,54.386451721191406,18.602449417114258,przystanek_autobus
3701850006,node,Skarżyńskiego 01,,,,,bus_stop,,54.38692855834961,18.601131439208984,przystanek_autobus
3701941596,node,Ciołkowskiego 01,,,,,bus_stop,,54.394683837890625,18.617015838623047,przystanek_autobus
3701941597,node,Kopalniana,,,,,bus_stop,,54.39030838012695,18.617036819458008,przystanek_autobus
3701941598,node,Legionów 04,,,,,bus_stop,,54.38742446899414,18.61150360107422,przystanek_autobus
3701941599,node,Rozstaje 04,,,,,bus_stop,,54.38840103149414,18.60788345336914,przystanek_autobus
3701941600,node,Rozstaje 05,,,,,bus_stop,,54.38887023925781,18.60785675048828,przystanek_autobus
3701941601,node,Legionów 03,,,,,bus_stop,,54.388004302978516,18.610261917114258,przystanek_autobus
3703481060,node,Grudziądzka 05,,,,,bus_stop,,54.3968505859375,18.62201499938965,przystanek_autobus
3703481061,node,Lwowska 01,,,,,bus_stop,,54.389678955078125,18.62210464477539,przystanek_autobus
3703481064,node,Wyspiańskiego,,,,,bus_stop,,54.376407623291016,18.623266220092773,przystanek_autobus
3703481065,node,Wyspiańskiego,,,,,bus_stop,,54.37685775756836,18.62361717224121,przystanek_autobus
3703481067,node,Mickiewicza 04,,,,,bus_stop,,54.3829460144043,18.62163734436035,przystanek_autobus
3703481068,node,Kościuszki 04,,,,,bus_stop,,54.38756561279297,18.62220001220703,przystanek_autobus
3703481069,node,Kościuszki 05,,,,,bus_stop,,54.38829040527344,18.62264060974121,przystanek_autobus
3703552938,node,,,playground,,,,,54.31443405151367,18.60411262512207,plac_zabaw
3703566669,node,Nowy Port Szaniec Zachodni 02,,,,,bus_stop,,54.396121978759766,18.67289924621582,przystanek_autobus
3703566670,node,Nowy Port Szaniec Zachodni 01,,,,,bus_stop,,54.396263122558594,18.673397064208984,przystanek_autobus
3708627327,node,Opera Bałtycka 04,,,,,bus_stop,,54.37245559692383,18.623212814331055,przystanek_autobus
3708627328,node,Opera Bałtycka,,,,,bus_stop,,54.372825622558594,18.624977111816406,przystanek_autobus
3708627329,node,Opera Bałtycka,,,,,bus_stop,,54.37320327758789,18.623550415039062,przystanek_autobus
3708627330,node,Teatr Miniatura / Radio Gdańsk 04,,,,,bus_stop,,54.37516784667969,18.617647171020508,przystanek_autobus
3708627331,node,Swojska 04,,,,,bus_stop,,54.37897872924805,18.633211135864258,przystanek_autobus
3708627332,node,Swojska 03,,,,,bus_stop,,54.379451751708984,18.63455581665039,przystanek_autobus
3710370564,node,Uniwersytet Medyczny 03,,,,,bus_stop,,54.3676643371582,18.632930755615234,przystanek_autobus
3710370565,node,Uphagena 01,,,,,bus_stop,,54.37668991088867,18.615169525146484,przystanek_autobus
3710571403,node,Centrum Onkologii 04,,,,,bus_stop,,54.37010955810547,18.62721824645996,przystanek_autobus
3713949044,node,Śnieżna 04,,,,,bus_stop,,54.391868591308594,18.65693473815918,przystanek_autobus
3713949045,node,Śnieżna 03,,,,,bus_stop,,54.392208099365234,18.657936096191406,przystanek_autobus
3714117443,node,Kujawska 01,,,,,bus_stop,,54.376739501953125,18.670255661010742,przystanek_autobus
3716074921,node,Biedronka,,,supermarket,,,,54.34602355957031,18.593198776245117,sklep
3717031042,node,Brama Wyżynna 04,,,,,bus_stop,,54.35039138793945,18.645660400390625,przystanek_autobus
3717031053,node,Polsat Plus Arena Gdańsk,,,,tram_stop,,,54.387386322021484,18.648988723754883,przystanek_tramwaj
3717031055,node,Swojska 01,,,,tram_stop,,,54.379581451416016,18.634449005126953,przystanek_tramwaj
3717031056,node,Marynarki Polskiej 02,,,,tram_stop,,,54.39836502075195,18.666147232055664,przystanek_tramwaj
3717031072,node,Żaglowa - AmberExpo,,,,tram_stop,,,54.38255310058594,18.63877296447754,przystanek_tramwaj
3717074228,node,Dworzec Główny 13,,,,,bus_stop,,54.35475540161133,18.645782470703125,przystanek_autobus
